seller_id,seller_city,seller_state,total_orders,total_units_sold,total_revenue,total_freight,avg_product_price,avg_review_score,avg_delivery_days
034b9387752bfa309f350a70cd45ffa3,blumenau,SC,8,8,96.0,144.26,12.0,4.5,8.5
038b75b729c8a9a04b0d07cba7eabe86,sao jose dos campos,SP,2,2,467.0,90.85,233.5,3.5,22.5
039b29ff3b3473435d0cd59040575de9,ribeirao pires,SP,9,9,114.9,100.65,12.77,4.44,9.0
039e6ad9dae79614493083e241147386,sao paulo,SP,5,5,12925.0,348.42,2585.0,4.0,14.4
03a2a6dcbe45d639c4dc2a0d24769c40,maua,SP,9,9,1078.41,172.25,119.82,4.11,10.56
03bd479e1d9484cdb14104d3023f7321,uberlandia,MG,3,3,359.7,57.72,119.9,4.33,20.33
0417b067eeab773d2f7061a726dc477f,sao bento do sul,SC,13,13,1859.18,642.57,143.01,3.92,17.46
042573af89b6d931f672efaf789d8358,sorocaba,SP,3,3,413.48,65.09,137.83,3.67,20.0
04308b1ee57b6625f47df1d56f00eedf,bombinhas,SC,94,94,60130.6,3054.39,639.69,3.88,18.87
0432ead42b6c8a0bdf68154add917fdf,maua,SP,85,90,7792.1,1207.52,86.58,4.48,8.74
044668ccd5316b12a7cf0d54a156e3e9,osasco,SP,3,4,137.8,53.55,34.45,5.0,7.0
04843805947f0fc584fc1969b6e50fe7,ivoti,RS,1,2,1400.0,74.76,700.0,5.0,15.0
048c2757535328e0d7dac690ad3c0aae,franca,SP,51,51,9264.78,1286.28,181.66,4.18,18.42
04aa0a1c5ce6b222003403a3e11c3cc0,cosmopolis,SP,11,17,5518.0,821.51,324.59,3.53,16.29
04aba03279157f6d4e0fe8ccaf21963c,santo antonio de padua,RJ,16,16,2575.9,346.43,160.99,4.31,11.53
04e38a233f726ef161074ab1c9b0399a,sao paulo,SP,23,28,1352.2,459.07,48.29,3.79,11.58
04ee0ec01589969663ba5967c0e0bdc0,lajeado,RS,1,1,289.49,24.83,289.49,5.0,3.0
04fdea0c111866e6cf812f1570d6b5bd,sao paulo,SP,10,10,1055.0,206.95,105.5,3.2,17.88
0509040ea3fe50071181bbc359eb7738,belo horizonte,MG,89,98,3737.95,1445.15,38.14,4.5,11.29
052577151711aec5c744fe12e66db3e1,rodeio,SC,4,4,2748.0,222.42,687.0,2.25,14.0
054694fa03fe82cec4b7551487331d74,itajobi,SP,21,22,9983.1,720.65,453.78,3.36,30.29
056b4ada5bbc2c50cc7842547dda6b51,queimados,RJ,65,66,12333.39,1306.02,186.87,4.12,12.63
0570350b23eda5444f8d1d9544932058,sao paulo,SP,6,11,626.9,124.86,56.99,5.0,4.82
05730013efda596306417c3b09302475,criciuma,SC,4,4,952.0,216.67,238.0,5.0,9.5
058cb5aeb36d7c0fcae20fc85d5e0a59,rio de janeiro,RJ,12,13,1328.0,779.42,102.15,3.38,9.58
058fd0aa2bfdb2274e05e1ae971dabb6,santo andre,SP,61,64,7667.9,887.9,119.81,4.39,10.17
05a48cc8859962767935ab9087417fbb,sao paulo,SP,1,1,42.9,16.49,42.9,5.0,11.0
05a940b4ecae36cadfd8e93bd9c43257,goiania,GO,10,10,952.0,196.94,95.2,3.9,14.22
05aebce0b5c8f0d41b29b686f2d05fd3,sao paulo,SP,2,2,74.99,45.89,37.5,5.0,6.0
05ca864204d09595ae591b93ea9cf93d,barueri,SP,1,1,179.9,8.52,179.9,5.0,5.0
05d2173d43ea568aa0540eba70d2ca76,alfenas,MG,62,66,5759.66,1679.27,87.27,4.0,14.56
05e107217c7266362fd44b75b2cd4cc4,sao paulo - sp,SP,5,8,193.38,82.01,24.17,4.13,6.88
05f51e13da97139648b8125c31e5f51b,belo horizonte,MG,60,63,13769.01,2019.29,218.56,4.1,12.15
05feb94f19d094d4b0f9281f0b1d4c99,mogi das cruzes,SP,6,6,9353.0,697.04,1558.83,4.5,15.17
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,59,62,21992.78,1815.39,354.72,4.21,12.25
062c325cd6a2b87845fab56b4ec2eeae,sao paulo,SP,2,2,133.22,23.86,66.61,5.0,5.5
062ce95fa2ad4dfaedfc79260130565f,lajeado,RS,55,60,7521.0,1200.44,125.35,3.97,13.41
06532f10282704ef4c69168b914b77be,paincandu,PR,8,9,10220.5,698.24,1135.61,4.22,16.75
06579cb253ecd5a3a12a9e6eb6bf8f47,sao paulo - sp,SP,62,72,4727.2,1499.41,65.66,3.76,10.86
066a6914e1ebf3ea95a216c73a986b91,foz do iguacu,PR,68,74,9410.38,1705.57,127.17,3.97,14.21
0691148aee60ca47977c187804f935ae,londrina,PR,47,53,5868.51,1490.94,110.73,3.99,12.94
0692610d8abe24f287e9fae90ea0bbee,sao paulo,SP,4,4,173.99,31.73,43.5,4.0,6.5
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,392,405,36408.95,12141.29,89.9,4.0,17.65
06bb3a2fe5e7b7a845b13e8fb91bd944,belo horizonte,MG,17,18,1536.19,326.14,85.34,4.61,8.83
06df0c10d34e459d9672bc77388742eb,maringa,PR,26,30,9070.0,525.77,302.33,4.37,9.67
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,92,95,22188.56,2193.28,233.56,3.9,10.86
07017df32dc5f2f1d2801e579548d620,joao pessoa,PB,8,9,946.49,181.75,105.17,4.11,10.11
070d165398b553f3b4b851c216b8a358,sao paulo,SP,32,39,3393.16,1003.59,87.0,3.5,11.0
0725b8c0f3f906e58f70cbe76b7c748c,guarulhos,SP,17,37,2190.3,715.69,59.2,3.58,11.75
0743a0239d764b9a0f959a57d07e36ab,sao paulo,SP,4,4,336.96,66.26,84.24,4.75,5.25
0747d5bb69f0586cc869d8af4c50f93e,saquarema,RJ,14,15,346.6,208.89,23.11,3.47,14.31
0761743cbffb25d7148189e9f1a5f03a,ribeirao preto,SP,3,7,241.2,86.2,34.46,4.29,14.14
077c5fae4bea9500e3737b16f71b9d3a,sorocaba,SP,4,6,106.8,70.44,17.8,4.67,7.83
0791d9fc1e30678ecf03d3e55fa108d3,belo horizonte,MG,5,11,842.0,186.99,76.55,2.73,6.27
079d295dcbf06ee8bb1b65ba964eb2b6,sao paulo,SP,5,10,349.3,190.79,34.93,4.8,6.6
07a9bc7f61396b658ddf3ac534efe44c,sao paulo,SP,1,1,119.9,15.59,119.9,3.5,6.0
07bf9669d84d1f11be443a9dd938f698,sao paulo,SP,18,24,1776.0,646.22,74.0,3.25,8.58
07d75e33f2750d97d467fb57e4dfdd8a,sao paulo,SP,2,2,722.4,37.19,361.2,2.5,11.5
07de60b03d150fb3ea09eab5da5e4c8b,ibitinga,SP,9,9,719.1,169.9,79.9,4.33,13.44
07e8e8fc5222bb358e6f259da3197074,sao paulo,SP,2,2,51.8,23.06,25.9,4.0,8.5
080102cd0a76b09e0dcf55fcacc60e05,belo horizonte,MG,124,130,5716.78,2195.93,43.98,4.49,9.61
080199a181c46c657dc5aa235411be3b,osasco,SP,79,83,14504.2,1040.68,174.75,4.61,8.05
08061dc0fc165ed41288cc7acde738ee,osasco,SP,4,4,123.8,58.42,30.95,4.5,20.0
08084d990eb3f53af056ccbc1730c8a7,sao paulo,SP,12,12,372.5,234.29,31.04,4.45,8.33
081acf3de680d554796c9cf041be7bc2,vespasiano,MG,4,8,1597.3,205.5,199.66,4.13,13.75
082e0bf4cb865a6533b1e8e498cc0255,botucatu,SP,11,23,2073.3,991.03,90.14,3.3,12.96
085f6f7e049c996695fb2074fe38d45e,taubate,SP,6,8,305.4,130.56,38.18,3.63,10.13
08633c14ef2db992c11f840f04fad4cd,ribeirao pires,SP,74,97,7644.3,1424.52,78.81,4.24,10.04
0873d9f8f36123f8d910f4760e788cfb,barueri,SP,6,6,7265.59,161.06,1210.93,3.17,13.17
0885aaf116795758dfeb5f1032487bcd,ferraz de vasconcelos,SP,28,30,2648.0,514.32,88.27,4.2,5.62
0887a9f087bcd5d9f6642b52f897fc6c,cananeia,SP,12,12,1642.0,220.35,136.83,4.42,14.33
08ad4ac1388e4420ca531c3edfc46198,itapevi,SP,6,7,221.62,89.05,31.66,2.71,7.0
08cdbae123ff67ca4e36d9d641ce0119,uba,MG,4,6,3098.99,1096.47,516.5,2.5,29.5
08d0949a9a17c027262db1f3c450c26c,cascavel,PR,12,12,324.8,233.04,27.07,3.71,14.25
08d1c9478fb0d7d7fcac9c0da4e82fc7,belo horizonte,MG,1,1,538.0,67.57,538.0,5.0,10.0
08d2d642cf72b622b14dde1d2f5eb2f5,marilia,SP,17,21,914.0,321.26,43.52,4.45,14.9
08f5819815f3d06545011850bd70f0a8,santos,SP,3,3,452.0,70.83,150.67,4.67,8.0
091065b789659bc3cd9af9cb3a6253ff,canoas,RS,2,2,1359.0,85.37,679.5,3.5,11.0
0936e1837d0c79253456bbb2ffaaef10,sao paulo,SP,1,2,38.9,31.12,19.45,5.0,19.0
093805f8f2aeb63881444571e1f48f30,osasco,SP,22,27,1215.79,343.94,45.03,3.81,8.07
094ced053e257ae8cae57205592d6712,ribeirao preto,SP,19,19,1519.2,459.03,79.96,4.05,12.0
0951a6e282947e09cd47969f4ed0b47f,taboao da serra,SP,7,7,492.3,88.02,70.33,4.86,5.14
09883d9ab71c8fe8a9bfc7fc3075b07e,sao paulo,SP,5,5,329.5,76.67,65.9,3.4,14.25
099095b050cfe8eb1ddff5317587e96e,sao paulo,SP,17,20,5193.83,715.32,259.69,2.95,10.26
09bad886111255c5b5030314fc7f1a4a,sao paulo,SP,5,5,487.5,72.86,97.5,5.0,6.4
09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,SP,50,56,11821.5,1524.96,211.1,3.88,13.09
0a198e95d32b1be2da9424c962a6ebfa,contagem,MG,1,1,69.99,16.68,69.99,5.0,16.0
0a82f5fb06a4fe4ac2cf7cb412ec71b8,sao paulo,SP,2,2,462.0,22.8,231.0,5.0,5.0
0a85ebe4e328db81ac9109781205e2f7,jundiai,SP,12,12,667.9,137.75,55.66,4.58,5.17
0aa124728afc1131dff5655f4c6f487b,alfenas,MG,2,2,850.92,107.86,425.46,1.0,
0aa2205ca24f113f4658a5c536667426,sao paulo,SP,4,11,815.62,172.48,74.15,2.82,6.73
0ac4201fda2c68ebc0e47cb9423cf3c9,sao paulo,SP,13,14,1676.88,233.99,119.78,4.29,12.29
0ad80de75c811326389cfb1daba7d45e,rio de janeiro,RJ,6,6,1449.4,115.32,241.57,5.0,9.0
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,110,142,15960.95,2499.27,112.4,3.89,12.78
0ade5cc4a305ed7093a23f68ca47519c,curitiba,PR,2,2,158.88,42.39,79.44,5.0,6.5
0aea4c6ae1505b3228ddf3dd7822ee5b,sorocaba,SP,8,8,1427.91,151.75,178.49,3.88,18.5
0af2ab31141893d26aca5a404a537dab,sao paulo,SP,1,1,59.0,15.51,59.0,5.0,6.0
0af977692321d895349eded183341d28,santos,SP,2,2,257.75,19.47,128.88,4.5,2.0
0afccdb8a34ee5c79f7c06faf2b4d56e,uberlandia,MG,25,25,1225.5,388.28,49.02,4.04,13.46
0b09101900100c0e9d312861fad5a1b9,sao paulo,SP,1,1,153.75,14.61,153.75,4.0,19.0
0b0ddbc7b9d9584f442c7ac92b0ff6c9,guarulhos,SP,3,3,1416.76,133.88,472.25,4.67,12.0
0b18d63d0cd1d723567903fd34a07df2,sp,SP,9,14,1678.14,265.89,119.87,4.79,7.0
0b1ca3ef18a63d7eb0c8897fa0849c08,sao roque,SP,1,1,55.0,7.87,55.0,5.0,6.0
0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,51,78,13533.65,1475.09,173.51,3.49,17.35
0b36063d5818f81ccb94b54adfaebbf5,jaragua do sul,SC,1,15,765.0,18.0,51.0,5.0,15.0
0b3f27369a4d8df98f7eb91077e438ac,aruja,SP,2,2,146.51,24.88,73.26,4.0,7.0
0b46f784306be7200ca1700aa55d819f,belo horizonte,MG,1,1,19.9,10.96,19.9,5.0,3.0
0b64bcdb0784abc139af04077d49a20e,canoas,RS,4,4,137.6,68.21,34.4,4.75,8.25
0b90b6df587eb83608a64ea8b390cf07,maringa,PR,164,210,28592.32,3615.32,136.15,4.0,14.33
0bae85eb84b9fb3bd773911e89288d54,itajai,SP,137,146,7482.21,2924.19,51.25,4.21,10.17
0bb27263628258b8111a0262769fa9db,sao paulo,SP,1,1,22.2,10.96,22.2,5.0,42.0
0bb738e4d789e63e2267697c42d35a2d,sao roque,SP,30,31,2388.3,642.34,77.04,4.58,11.79
0be8ff43f22e456b4e0371b2245e4d01,sao paulo,SP,161,180,11805.5,2579.15,65.59,3.89,10.26
0bebbb2cea103a4a020c95d43fd7d754,sao paulo,SP,9,9,1367.2,147.14,151.91,4.89,5.78
0bf0150d5b9d60d9cd2906003332f085,sao paulo,SP,39,62,5774.6,1097.74,93.14,3.71,14.02
0bfd0b434243adc5c2e1aa6baf19c6aa,rio de janeiro,RJ,6,6,371.2,65.79,61.87,3.67,8.5
0c7533c71df861ec58ad7ff999ed0e8d,valinhos,SP,61,73,2989.3,874.21,40.95,4.08,10.51
0c7f30ae9b147eca07affbef92832a6a,ponta grossa,PR,5,5,479.5,87.61,95.9,5.0,8.6
0c8380b62e38e8a1e6adbeba7eb9688c,tres coracoes,MG,182,220,17348.79,4107.04,78.86,4.03,12.63
0cab2da43793a6f3c5ed8514c5f54627,curitiba,PR,3,3,309.7,57.2,103.23,5.0,4.67
0cbcee27c791afa0cdcb08587a2013a8,tres coracoes,MG,39,41,5324.15,817.16,129.86,3.85,13.38
0d33a55da925bbf1ff02af5f6059fc7f,sao paulo,SP,22,24,547.3,385.61,22.8,4.5,8.67
0d4c8269e7f0401201794deef160edd6,ribeirao preto,SP,3,4,792.64,99.39,198.16,4.0,18.75
0d83f8e03188682112cc0d93523705cc,porto alegre,RS,4,8,696.26,124.31,87.03,2.75,25.0
0d85bbda9889ce1f7e63778d24f346eb,uberlandia,MG,51,58,4845.2,1624.5,83.54,4.21,18.21
0daf5180aa44356f60f8effa533b55a2,goiania,GO,2,2,144.8,38.83,72.4,5.0,8.5
0db783cfcd3b73998abc6e10e59a102f,santos,SP,132,137,9077.4,1999.15,66.26,4.21,11.63
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,161,193,18446.92,5319.5,95.58,3.95,11.15
0ddefe3c7a032b91f4e25b9c3a08fca1,sao bernardo do campo,SP,9,10,402.9,150.0,40.29,4.5,8.5
0df3984f9dfb3d49ac6366acbd3bbb85,betim,MG,87,89,10021.49,1498.72,112.6,4.3,9.55
0dfbed20065e425d2eaefb101f9816c0,porto ferreira,SP,3,3,84.35,49.25,28.12,2.67,21.67
0e44d110fa6a54e121cb2c095a77762f,francisco morato,SP,6,6,223.32,70.06,37.22,4.33,11.83
0e72c1a751b496722a6cb1f10653b62a,sao paulo,SP,3,3,140.8,51.3,46.93,4.67,6.67
0e982cff76cc0579f632cea8a0e38c9d,itajai,SC,7,12,1307.34,172.97,108.95,3.25,8.0
0ea22c1cfbdc755f86b9b54b39c16043,sete lagoas,MG,237,269,10711.7,4363.61,39.82,4.32,11.02
0eaa7e33d73809f1f925f7d07c506cbd,santo andre,SP,15,15,1552.0,194.9,103.47,4.71,5.87
0ebd97a106433a45a4aebe57c1799778,contagem,MG,31,32,3046.8,614.88,95.21,4.5,9.19
0ec28cec4046a4a199b6de9b4c891d97,goiania,GO,3,4,296.6,56.04,74.15,5.0,9.0
0ed6ce5d87fd9c69eaacaeb778d67235,americana,SP,43,43,2141.42,687.83,49.8,4.4,15.93
0ee4fb99ac55ffbbc98795aa01b7f8fa,santana de parnaiba,SP,1,1,59.9,11.03,59.9,5.0,7.0
0ef83d7d83ed97cd2a0049ac8be5f88a,curitiba,PR,48,55,4421.01,1026.8,80.38,4.24,9.56
0f0c984a4a955310903b6b6008660bad,franca,SP,4,4,369.81,111.57,92.45,3.75,14.25
0f519b0d2e5eb2227c93dd25038bfc01,ibitinga,SP,1,1,79.9,23.0,79.9,5.0,12.0
0f7eea709efdf942b5f95c7516dbacd7,pedrinhas paulista,SP,3,3,195.74,44.32,65.25,4.0,8.33
0f80a40c312b2472dca482cf50f5186f,lencois paulista,SP,1,1,129.9,20.1,129.9,3.0,5.0
0f94588695d71662beec8d883ffacf09,florianopolis,SC,1,1,9.0,18.59,9.0,5.0,15.0
0fe2d9733ed841eb064503920015a8c0,ourinhos,SP,3,3,389.64,108.71,129.88,4.67,8.67
0ff83046c3fa22efee8ecf291888b191,caxias do sul,RS,10,11,768.9,254.48,69.9,4.82,12.36
0ffa40d54288e4f3499b8780dd0f144f,presidente prudente,SP,33,35,2162.8,583.67,61.79,4.4,13.31
10076e5788b8ee532724bcd460baf762,batatais,SP,23,26,821.48,377.3,31.6,4.62,9.77
10089e9f2fd0c668a8fd4e52e1698888,sao jose do rio preto,SP,3,3,1139.9,59.41,379.97,4.33,7.67
101921376b577a4540dc30e9009133ca,rio claro,SP,1,1,373.0,21.49,373.0,2.0,
101a3a003516bc11253298b2fad3cb65,rio claro,SP,5,6,450.0,74.0,75.0,4.83,6.83
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,1428,138968.55,33892.14,97.32,3.85,12.0
10264f60a8f0a4d2f30810f5c661c673,campinas,SP,4,4,284.6,41.86,71.15,5.0,4.0
1099a00e0ee3a50935e6c2447ca090c5,rio de janeiro,RJ,3,3,849.7,61.13,283.23,3.67,15.33
10cdd491d1dbea8fb4ead97b19c334ce,santa rita do sapucai,MG,3,3,208.9,78.86,69.63,5.0,7.0
10ff823eda2b032e2c93d17a7d294736,pederneiras,SP,9,9,1294.97,164.56,143.89,3.89,9.88
112453736dbe3889cfb74e1aaa0ba0c1,sao paulo,SP,7,14,1890.0,264.77,135.0,4.07,13.64
1127b7f2594683f2510f1c2c834a486b,campinas,SP,114,132,6851.33,1821.71,51.9,4.09,10.2
11305281b50fff20ae8bb473f8e11876,uba,MG,35,40,6528.7,1444.51,163.22,4.35,14.03
113e3a788b935f48aad63e1c41dac1bd,aparecida,SP,39,48,847.35,686.6,17.65,4.4,12.0
116ccb1a1604bc88e4d234a8c23f33de,sao bernardo do campo,SP,61,73,2004.89,943.44,27.46,4.6,8.64
11742f81550ac064cc9a40f67151d9ad,catanduva,SP,2,2,781.9,49.11,390.95,5.0,9.0
117cfc326c6d50da67ca858ff5c0c852,sao joao de meriti,RJ,5,5,454.6,81.48,90.92,4.6,5.8
11938fcc75f6902fea1d0a6f72b54a57,sao miguel d'oeste,SC,2,2,594.98,142.16,297.49,3.0,22.5
119c7f1a00ef43fad0e57604e76a747c,sao paulo,SP,2,2,189.8,17.02,94.9,4.5,6.0
119d1aef1b4144adba89163f6cd9f5d4,pedreira,SP,4,4,1094.0,204.24,273.5,4.75,4.5
11bfa66332777660bd0640ee84d47006,ribeirao preto,SP,76,102,3925.87,1682.67,38.49,3.78,16.09
11d4c477d09821164bca4f70a2eae031,ribeirao preto,SP,3,4,83.04,57.82,20.76,5.0,6.75
11eac105f3f90a9b87b19c89d91e24f3,sao paulo,SP,5,5,802.89,124.94,160.58,3.6,9.2
11fb6f6d341adbe19e81733701704635,sao paulo,SP,3,3,1197.0,399.66,399.0,5.0,5.33
120476eb7a04c149d14772edaf5d9bf2,angra dos reis,RJ,4,6,2368.8,150.83,394.8,3.83,6.5
1284de4ae8aa26997e748c851557cf0e,laranjeiras do sul,SP,3,3,1459.97,86.87,486.66,2.67,19.33
128639473a139ac0f3e5f5ade55873a5,maringa,PR,533,560,11908.85,9785.6,21.27,4.18,14.31
128f9bfbe4c7d5185033914b1de3d39a,atibaia,SP,14,16,1277.29,373.2,79.83,4.75,12.87
12a8eb0f8d1cd3270695bf2a99f55966,sao paulo,SP,2,2,397.0,39.67,198.5,3.5,20.5
12b9676b00f60f3b700e83af21824c0e,montenegro,RS,135,135,26774.0,3568.69,198.33,4.52,15.02
12c2ed9cded6138cf0c75f525f565fc7,praia grande,SP,4,4,314.96,51.05,78.74,4.25,13.25
13074f016982ff2bd6c58ced8682f000,bento goncalves,RS,14,15,2116.0,995.7,141.07,3.93,14.57
131fcb0a0c9a47bba4474aacff0f14b7,sao paulo,SP,4,4,369.8,36.61,92.45,4.0,4.0
1336efc61c316ddf92c899eb817f7cae,assis,SP,74,85,4837.31,1517.98,56.91,3.94,11.71
134285d1f41da5c13a756ee8142c8a4e,sao paulo,SP,3,4,1572.7,80.93,393.18,2.75,8.75
134a288e7de827ec5ec62e3ec9c3a295,sao paulo,SP,9,9,877.45,126.55,97.49,4.78,9.33
134b867a0f7f8bbe6abf10f91874891e,valinhos,SP,1,1,789.89,132.95,789.89,4.0,13.0
13511db12ac61e2f89c53b72a944a60b,caxias do sul,RS,6,6,798.0,265.97,133.0,3.5,9.17
1352e06ae67b410cdae0b2a22361167b,rio de janeiro,RJ,4,4,696.0,69.22,174.0,2.33,34.5
1354d51653f645349064725ed204e85e,sao paulo,SP,18,20,2410.0,284.72,120.5,3.8,9.25
138dbe45fc62f1e244378131a6801526,sao paulo,SP,49,58,1125.56,689.24,19.41,3.98,6.1
139157dd4daa45c25b0807ffff348363,sao paulo,SP,1,1,29.9,7.78,29.9,4.0,1.0
13c2ed7698b3ca92dad49e849219da59,ponta grossa,PR,8,9,498.61,154.68,55.4,4.44,11.56
13d058e4eeac2ce8217660b2f8a05812,osasco,SP,23,23,3829.77,926.11,166.51,4.22,11.36
13d95f0f6f73943d4ceffad0fc2cd32c,goiania,GO,1,1,249.99,59.33,249.99,3.0,22.0
13dd308f81fea30cc670c656b2b46cc3,santa barbara d'oeste,SP,3,3,117.7,33.44,39.23,5.0,3.67
13e85aac53340018b40c2af68001b7e0,pedreira,SP,1,1,17.8,14.12,17.8,5.0,18.0
13f57c12a00ed4610db646b913a7f5c6,santos,SP,7,13,645.2,175.95,49.63,4.77,12.85
13fa2a6c6b9d0f43cb588d7c82117a12,sao paulo,SP,9,10,4528.0,191.44,452.8,4.0,20.3
141440cad9341e553f8401c574a2aa38,pitanga,PR,11,12,1288.2,290.8,107.35,4.17,6.92
1430239a858e7682bbc43b20758af153,sao paulo,SP,18,23,660.79,268.75,28.73,3.96,7.18
1444c08e64d55fb3c25f0f09c07ffcf2,lauro de freitas,BA,1,1,2749.0,69.74,2749.0,1.0,10.0
1464afc72f696af775557a821c2e253f,nova friburgo,RJ,29,30,1059.36,454.42,35.31,4.17,11.2
14a08204d03bb6b6bde8029f801ae0eb,sao paulo,SP,28,38,2185.4,593.7,57.51,3.82,8.58
14d7985702e72162bbf13b6beb74ab2b,santo andre,SP,37,38,3887.0,554.0,102.29,4.34,11.03
14ee35374a7876217954b5fa08e50463,sao jose do rio preto,SP,6,6,809.0,114.05,134.83,4.33,17.17
14f2b3587172b9db894c9bad8dab520b,ipe,RS,2,2,244.0,86.06,122.0,2.5,14.0
152ee17e4c8aaf53dac99f3462e4999b,garuva,SC,6,6,308.96,95.97,51.49,4.33,10.5
154bdf805377afea75a3bd158e9eab10,ibitinga,SP,1,1,89.9,19.82,89.9,1.0,25.0
1554a68530182680ad5c8b042c3ab563,monte siao,MG,247,269,29052.53,6798.26,108.0,4.24,14.09
157c3e4b42f81ac4a44e8b1ca2fe9876,sao paulo,SP,23,31,2548.5,583.32,82.21,3.97,10.29
1588ac4010787100dddef64568f0ae35,maringa,PR,3,3,599.97,46.0,199.99,3.0,19.67
